金田政彦,1969年4月30日
金村曉,1976年4月19日
金村義明,1963年8月27日
金本明博,1987年12月5日
金本知憲,1968年4月3日
金本秀夫,1942年5月1日
加納茂徳,1949年5月17日
鏑木悦純,1944年6月3日
鎌田圭司,1979年3月26日
鎌田実,1939年3月8日
鎌田祐哉,1978年11月30日
鎌田豊,1943年8月4日
鎌仲政昭,1969年4月17日
神内靖,1983年8月12日
神垣雅行,1952年4月22日
上川誠二,1960年3月27日
上垣内誠,1944年6月30日
上坂太一郎,1977年4月14日
亀沢恭平,1988年10月15日
亀山努,1969年7月2日
加茂川重治,1966年3月17日
萱島大介,1980年1月6日
茅野健一,1917年2月25日
茅野秀三,1918年11月7日
苅田久徳,1910年1月19日
狩野行寿,1994年7月31日
河井昭司,1949年11月11日
川井貴志,1976年9月16日
川相昌弘,1964年9月27日
河合保彦,1933年10月3日
川内雄富,1948年3月15日
川内八洲男,1945年11月27日
川上憲伸,1975年6月22日
川上哲治,1920年3月23日
川岸強,1979年9月12日
川口和久,1959年7月8日
川口憲史,1976年6月28日
川越英隆,1973年6月8日
川崎啓之介,1934年8月5日
川崎憲次郎,1971年1月8日
川崎徳次,1921年5月7日
川崎宗則,1981年6月3日
川島堅,1969年7月20日
川島亮,1981年9月9日
川尻哲郎,1969年1月5日
河田寿司,1979年12月5日
河田雄祐,1967年12月22日
川田幸夫,1936年6月27日
川藤幸三,1949年7月5日
川藤龍之輔,1947年8月17日
川名慎一,1970年4月10日
川中基嗣,1973年12月19日
河西俊雄,1920年4月25日
河野元貴,1991年6月14日
河野昌人,1978年5月7日
河野亮,1971年5月3日
川畑和人,1948年4月12日
川端順,1960年3月19日
川畑泰博,1966年7月27日
河端龍,1976年11月10日
河原純一,1973年1月22日
川原新治,1962年2月5日
河東真,1939年10月14日
川邉忠義,1968年4月30日
川俣浩明,1972年8月12日
川又米利,1960年8月4日
河村保彦,1940年7月15日
川本浩次,1951年9月26日
川本智徳,1959年5月1日
河本育之,1967年10月21日
神崎安隆,1932年8月24日
神田義英,1979年2月27日
関東孝雄,1951年9月2日
上林繁次郎,1917年1月13日
菊沢竜佑,1988年5月16日
菊地原毅,1975年3月7日
岸敬祐,1987年1月16日
岸川勝也,1965年4月24日
岸川登俊,1970年1月30日
岸田護,1981年5月10日
岸本秀樹,1982年10月18日
木田勇,1954年6月7日
喜田剛,1979年10月25日
喜多隆志,1980年2月6日
木田優夫,1968年9月12日
北角富士雄,1947年5月17日
北川桂太郎,1925年5月14日
北川博敏,1972年5月27日
北川芳男,1932年10月18日
木立章成,1973年10月13日
木谷寿巳,1980年10月15日
北野勝則,1967年10月10日
北原喜久男,1969年10月18日
北別府学,1957年7月12日
北村照文,1957年1月7日
北本重二,1929年12月14日
木次文夫,1937年1月26日
木戸克彦,1961年2月1日
木戸美摸,1937年9月18日
紀藤真琴,1965年5月12日
城所龍磨,1985年9月24日
衣笠祥雄,1947年1月18日
衣川幸夫,1974年7月29日
木下達生,1987年11月28日
木下貞一,1919年3月20日
木下富雄,1951年5月7日
木下智裕,1957年7月31日
木下政文,1919年11月29日
木原義隆,1942年7月12日
木俣達彦,1944年7月7日
木村一喜,1977年10月5日
木村孝平,1921年8月10日
木村拓也,1972年4月15日
木村勉,1921年1月12日
木村昌広,1974年8月16日
木村保久,1924年5月29日
木村龍治,1970年9月1日
木元邦之,1978年10月7日
木本茂美,1954年4月7日
木山英求,1954年12月24日
久喜勲,1926年2月12日
久古健太郎,1986年5月16日
清川栄治,1961年9月21日
清原和博,1967年8月18日
清原初男,1917年11月7日
清原雄一,1969年5月23日
吉良修一,1949年4月23日
切通猛,1944年4月21日
金城龍彦,1976年7月27日
草野大輔,1976年12月4日
久慈照嘉,1969年4月19日
久代義明,1942年8月14日
楠安夫,1920年6月21日
楠橋高幸,1950年11月14日
楠本秀雄,1949年8月8日
